iter	Passed	Remaining
0	5	5365
1	12	6024
2	17	5716
3	19	4844
4	21	4309
5	23	395866	26	37067	37	4598
8	39	4328
99	50	4983
10	67	6042
11	70	5782
12	74	5663
13	78	5508
14	80	5285
15	88	5446
16	90	5253
17	109	5956
1818	147	7609
19	153	7537
20	167	7809
21	169	7547
22	172	7306
23	174	7088
24	176	6885
25	178	6698
26	181	6523
27	183	6361
28	185	6212
29	187	6071
30	189	5938
31	192	58132	199	5860
33	294	8358
34	333	9187
35	350	9377
36	381	9922
37	383	9715
38	385	9510
39	388	9318
40	390	9134
41	392	8960
42	395	8794
43	397	8634
44	399	8481
45	401	8335
46	404	8195
47	406	8061
48	408	7932
49	410	7807
50	413	7688
51	415	7574
52	428	7655
53	430	7545
54	432	743855	336	5666
56	359	5955
57	380	6183
58	383	6109
59	385	6036
60	387	5965
61	393	5952
62	397	5905
63	401	5874
64	436	6278
65	452	6398
66	454	6328
67	467	6408
68	469	6339
69	69	616	8185
70	618	8071	518	6683
72	520	6613
73	523	6545
74	525	6479
75	527	6414
76	529	6351
778	637	7426
79	647	7446
8079	694	7998180	756	8586
81	780	8738
82	799	8831
83	809	8826
84	822	8852
85	833	8853
86	835	8765
87	837	8679
88	839	8596
89	842	8513
90	844	8433
91	846	8354
92	848	8277
93	851	8202
94	858	8180
95	860	8107
96	863	8036
97	865	7965
98	867	7898
99	870	7835
100	884	7872
101	887	7809
102	889	7744
103	891	7680
104	893	7618
105	896	7557
106	911	7606
107	913	7546
108	916	7488
109	918	7430
110	920	7373
111	922	731112	970	7618
113	987	7672
114	989	7616
115	992	7566
116	995	7511
117	1000	7476
118	1002	7422
119	1004	7368
120	1007	7316
121	1009	7264
122	1023	7298
123	1025	7246
124	1028	7196
125	1030	7147
126	1032	7098
127	1034	7128	1129	968	6481
130	981	6514
131	984	6471
13131	1075	70133132	1111	7242
133	1113	7195
134	1117	7135	1165	7405
136	1206	7599
137	1218	7612
138	1220	7562
139	1236	7593
140	1254	7641
141	1256	7592
142	1258	7543
143	1261	7496
144	1263	7449
145	1265	7402
146	1267	7356
147	1270	7311
148	1272	7266
149	1274	7222
150	1276	7178
151	1279	7135
152	1281	7093
153	1283	7051
154	1285	7010
155	1288	6969
156	1290	6929
157	1292	6889
158	1294	6849
159	1297	6809
160	1299	6771
161	1322	6840
162	1358	6975
163	1360	6936
164	1363	6897
165	1365	6859
166	1367	6820
167	1369	6782
168	1371	6745
169	1373	6708
170	1376	6671
171	1378	6635
172	1380	6599
173	1382	6564
174	1385	6529
175	1387	6494
176	1389	6460
177	1395	6446
178	1406	6453
179	1412	6432
180	1420	6428
181	1423	6396
182	1437	6416
183	1439	6383
184	1441	6351
185	1443	6319
186	1470	6394
187	1473	6362
188	1475	6330
189	1477	6299
190	1479	6267
191	1482	6237
192	1484	6207
193	1486	6177
194	1489	6147
195	1491	6117
196	1197	1512	197	1525	6177
198	1544	6217
199	1565	6260
200	1567	6230
201	1569	6200
202	1571	6171
203	1577	6155
204	1585	6148
20207	1587	6046
208	1590	6018
209	1593	5996
210	1610	602209	1678	6315
210	1691	6325
211	1713	6369
212	1728	6386
213	1757	6455
214	1772	6472
215	1778	6454
216	1780	6424
217	1782	6395
218	1785	6365
219	1787	6336
220	1794	6324
221	1796	6296
222	1813	6318
223	1815	6290
224	1866	6427
225	1875	6423
226	1877	6394
227	1880	6365
228	1887	6354
229	1895	6344
230	1897	6316
231	1913	6334
232	1915	6307
233	1925	6304
234	1933	6294
235	1936	6268
236	1949	6277
237	1952	6250
238	1954	6223
239	1960	6207
240	1968	6198
241	1970	6171
242	1972	6146
243	1978	6128
244	1991	6137
245	1993	6111
246	1999	6094
247	2004	6077
248	2006	6051
249	2008	6026
250	2010	6000
251	2013	5975
252	2015	5950
253	2017	5926
254	2020	5901
255	2022	5877
256	2024	5852
257	2038	5862
258	2040	5838
259	2043	5814
260	2046	5795
261	2051	5779
262	2054	5756
263	2056	5733
264	2058	5709
265	2061	5688
26268	2085	5667
269	2108	5700
270	2119	5701
271	2121	5678
272	2123	5655
273	2126	5633
274	2128	5611
275	2130	558274	2160	5695
275	2162	5672
276	2164	5650
27279	2150	5531
